UTC,Open,High,Low,Close,Volume
01.09.2023 00:00:00.000 UTC,1939.815,1940.225,1938.625,1939.198,0.43286
01.09.2023 01:00:00.000 UTC,1939.198,1944.005,1939.148,1942.515,1.03858
01.09.2023 02:00:00.000 UTC,1942.545,1942.555,1939.825,1940.365,0.44151
01.09.2023 03:00:00.000 UTC,1940.358,1940.358,1938.628,1938.825,0.39995
01.09.2023 04:00:00.000 UTC,1938.815,1940.135,1938.105,1939.935,0.17004
01.09.2023 05:00:00.000 UTC,1939.905,1940.595,1939.155,1939.665,0.41293
01.09.2023 06:00:00.000 UTC,1939.645,1940.415,1938.365,1940.325,0.39779
01.09.2023 07:00:00.000 UTC,1940.325,1943.435,1940.225,1943.025,0.66732
01.09.2023 08:00:00.000 UTC,1943.005,1943.685,1941.795,1942.925,0.50284
01.09.2023 09:00:00.000 UTC,1942.915,1944.395,1942.855,1944.135,0.47667
01.09.2023 10:00:00.000 UTC,1944.165,1944.285,1943.385,1944.185,0.34856
01.09.2023 11:00:00.000 UTC,1944.165,1945.785,1943.878,1944.365,0.78325
01.09.2023 12:00:00.000 UTC,1944.348,1952.905,1944.138,1949.805,5.35169
01.09.2023 13:00:00.000 UTC,1949.815,1951.438,1940.005,1943.708,6.58269
01.09.2023 14:00:00.000 UTC,1943.674,1943.674,1934.355,1940.005,6.06612
01.09.2023 15:00:00.000 UTC,1939.995,1940.425,1936.615,1938.755,1.27556
01.09.2023 16:00:00.000 UTC,1938.735,1939.755,1937.515,1938.045,0.34626
01.09.2023 17:00:00.000 UTC,1938.065,1941.425,1937.235,1941.035,0.40368
01.09.2023 18:00:00.000 UTC,1941.038,1941.078,1940.225,1940.995,0.39788
01.09.2023 19:00:00.000 UTC,1940.975,1941.275,1940.375,1940.445,0.21083
01.09.2023 20:00:00.000 UTC,1940.495,1940.598,1939.238,1939.238,0.48883
03.09.2023 22:00:00.000 UTC,1939.948,1940.384,1939.274,1939.365,0.25755
03.09.2023 23:00:00.000 UTC,1939.378,1940.985,1939.365,1940.428,0.66275
04.09.2023 00:00:00.000 UTC,1940.425,1941.615,1939.958,1940.868,0.29208
04.09.2023 01:00:00.000 UTC,1940.825,1944.005,1940.315,1942.965,0.77795
04.09.2023 02:00:00.000 UTC,1942.975,1946.025,1942.925,1945.615,0.4857
04.09.2023 03:00:00.000 UTC,1945.635,1945.925,1944.728,1944.855,0.26508
04.09.2023 04:00:00.000 UTC,1944.865,1945.085,1944.175,1944.958,0.261
