UTC,Open,High,Low,Close,Volume
01.10.2025 00:00:00.000 UTC,3862.775,3865.125,3858.445,3860.235,1.1556
01.10.2025 01:00:00.000 UTC,3860.248,3868.795,3858.985,3868.775,1.13064
01.10.2025 02:00:00.000 UTC,3868.805,3875.295,3858.115,3863.165,2.75093
01.10.2025 03:00:00.000 UTC,3863.035,3866.265,3855.385,3861.875,1.74555
01.10.2025 04:00:00.000 UTC,3861.875,3864.845,3857.295,3864.705,1.18875
01.10.2025 05:00:00.000 UTC,3864.745,3869.675,3861.955,3863.295,1.45591
01.10.2025 06:00:00.000 UTC,3863.305,3864.648,3853.055,3859.045,1.52051
01.10.2025 07:00:00.000 UTC,3859.285,3879.518,3858.805,3878.995,1.767
01.10.2025 08:00:00.000 UTC,3879.035,3895.145,3878.835,3892.698,1.92245
01.10.2025 09:00:00.000 UTC,3892.665,3894.905,3883.418,3888.698,1.547995
01.10.2025 10:00:00.000 UTC,3888.698,3889.375,3884.965,3887.415,1.1764
01.10.2025 11:00:00.000 UTC,3887.405,3888.305,3877.798,3883.415,1.32201
01.10.2025 12:00:00.000 UTC,3883.485,3890.898,3864.375,3870.295,3.094607
01.10.2025 13:00:00.000 UTC,3870.305,3876.848,3863.475,3872.245,3.30793
01.10.2025 14:00:00.000 UTC,3872.295,3878.585,3856.315,3872.775,3.2363
01.10.2025 15:00:00.000 UTC,3872.715,3876.448,3857.845,3868.315,3.33829
01.10.2025 16:00:00.000 UTC,3868.305,3871.355,3860.438,3870.655,2.40188
01.10.2025 17:00:00.000 UTC,3870.655,3871.675,3860.415,3860.595,2.47699
01.10.2025 18:00:00.000 UTC,3860.585,3866.075,3854.885,3861.955,2.32996
01.10.2025 19:00:00.000 UTC,3862.005,3870.755,3861.245,3867.498,1.45166
01.10.2025 20:00:00.000 UTC,3867.498,3867.595,3860.165,3865.415,0.92212
01.10.2025 22:00:00.000 UTC,3865.745,3870.205,3858.348,3861.775,0.92281
01.10.2025 23:00:00.000 UTC,3861.485,3866.295,3857.375,3863.165,1.2367
02.10.2025 00:00:00.000 UTC,3863.195,3863.395,3855.735,3855.825,1.27769
02.10.2025 01:00:00.000 UTC,3855.819,3864.935,3852.635,3864.845,1.76191
02.10.2025 02:00:00.000 UTC,3864.865,3869.848,3861.315,3865.805,1.50228
