UTC,Open,High,Low,Close,Volume
01.03.2026 23:00:00.000 UTC,5372.198,5392.995,5296.668,5386.545,3.170581
02.03.2026 00:00:00.000 UTC,5386.675,5387.645,5340.375,5347.045,2.84631
02.03.2026 01:00:00.000 UTC,5347.015,5347.015,5302.695,5324.615,4.03556
02.03.2026 02:00:00.000 UTC,5324.595,5351.435,5316.745,5346.195,2.94547
02.03.2026 03:00:00.000 UTC,5346.298,5366.535,5343.818,5366.095,1.74888
02.03.2026 04:00:00.000 UTC,5366.065,5366.935,5344.505,5355.725,1.22799
02.03.2026 05:00:00.000 UTC,5355.785,5365.985,5340.575,5365.785,1.25398
02.03.2026 06:00:00.000 UTC,5365.815,5389.505,5363.385,5387.275,1.65114
02.03.2026 07:00:00.000 UTC,5387.195,5418.875,5384.668,5408.105,2.14013
02.03.2026 08:00:00.000 UTC,5408.075,5416.455,5391.045,5393.865,1.97087
02.03.2026 09:00:00.000 UTC,5393.835,5402.815,5385.535,5391.755,1.54218
02.03.2026 10:00:00.000 UTC,5391.775,5400.715,5378.645,5388.945,1.34494
02.03.2026 11:00:00.000 UTC,5389.035,5399.795,5374.865,5385.155,1.21302
02.03.2026 12:00:00.000 UTC,5385.035,5398.498,5378.705,5396.845,1.47635
02.03.2026 13:00:00.000 UTC,5396.875,5416.625,5381.338,5393.655,3.22976
02.03.2026 14:00:00.000 UTC,5393.675,5394.895,5305.069,5331.645,4.57326
02.03.2026 15:00:00.000 UTC,5331.248,5348.438,5307.885,5315.505,4.58784
02.03.2026 16:00:00.000 UTC,5314.925,5314.925,5260.095,5289.705,4.23917
02.03.2026 17:00:00.000 UTC,5289.725,5320.315,5286.555,5306.605,2.67458
02.03.2026 18:00:00.000 UTC,5306.705,5316.465,5289.275,5315.385,2.1167
02.03.2026 19:00:00.000 UTC,5315.335,5333.795,5313.575,5330.195,1.63342
02.03.2026 20:00:00.000 UTC,5330.235,5346.045,5328.095,5331.995,2.52396
02.03.2026 21:00:00.000 UTC,5332.105,5340.095,5321.005,5321.845,1.07345
02.03.2026 23:00:00.000 UTC,5321.098,5346.658,5320.698,5345.695,0.99773
03.03.2026 00:00:00.000 UTC,5345.755,5361.788,5336.565,5349.905,0.9362
03.03.2026 01:00:00.000 UTC,5349.925,5379.755,5337.685,5338.755,2.396053
03.03.2026 02:00:00.000 UTC,5339.175,5367.695,5332.525,5366.625,2.37748
03.03.2026 03:00:00.000 UTC,5366.645,5373.185,5358.598,5367.115,1.38912
03.03.2026 04:00:00.000 UTC,5367.055,5375.255,5359.115,5360.855,0.83072
03.03.2026 05:00:00.000 UTC,5360.835,5366.615,5304.465,5318.795,2.20346
03.03.2026 06:00:00.000 UTC,5318.735,5322.675,5278.598,5310.315,2.73709
03.03.2026 07:00:00.000 UTC,5309.998,5330.855,5305.705,5327.435,1.4104
03.03.2026 08:00:00.000 UTC,5327.395,5335.735,5289.835,5295.445,2.09382
03.03.2026 09:00:00.000 UTC,5295.235,5303.645,5225.718,5274.795,3.06473
03.03.2026 10:00:00.000 UTC,5274.775,5287.555,5237.415,5247.735,2.39876
03.03.2026 11:00:00.000 UTC,5247.695,5263.625,5071.645,5144.318,5.50855
03.03.2026 12:00:00.000 UTC,5144.485,5226.505,5137.805,5224.065,3.37982
03.03.2026 13:00:00.000 UTC,5224.045,5224.075,5127.075,5156.445,5.009101
03.03.2026 14:00:00.000 UTC,5156.405,5175.118,5015.725,5037.825,5.24513
03.03.2026 15:00:00.000 UTC,5038.195,5096.548,4995.475,5095.098,5.688306
03.03.2026 16:00:00.000 UTC,5094.998,5134.358,5090.175,5106.365,4.66847
03.03.2026 17:00:00.000 UTC,5106.788,5109.548,5065.045,5078.975,3.81401
03.03.2026 18:00:00.000 UTC,5079.085,5138.088,5078.865,5135.775,3.12081
03.03.2026 19:00:00.000 UTC,5135.795,5148.645,5099.088,5112.985,3.10555
03.03.2026 20:00:00.000 UTC,5113.485,5130.085,5085.635,5096.985,3.544
03.03.2026 21:00:00.000 UTC,5097.035,5110.125,5082.955,5084.865,1.19528
03.03.2026 23:00:00.000 UTC,5099.298,5129.545,5086.868,5125.035,1.17283
04.03.2026 00:00:00.000 UTC,5125.015,5139.995,5105.348,5138.375,1.57952
04.03.2026 01:00:00.000 UTC,5138.395,5178.095,5138.325,5174.795,3.0239
04.03.2026 02:00:00.000 UTC,5174.755,5190.675,5153.495,5156.075,2.39137
04.03.2026 03:00:00.000 UTC,5156.075,5177.185,5141.015,5173.978,2.07342
04.03.2026 04:00:00.000 UTC,5173.795,5180.505,5151.805,5156.525,1.8171
04.03.2026 05:00:00.000 UTC,5156.495,5168.065,5151.795,5159.438,2.82611
04.03.2026 06:00:00.000 UTC,5159.395,5160.395,5119.395,5160.025,2.77497
04.03.2026 07:00:00.000 UTC,5160.095,5175.638,5158.175,5168.025,1.56667
04.03.2026 08:00:00.000 UTC,5168.148,5181.815,5147.238,5167.285,1.93978
04.03.2026 09:00:00.000 UTC,5167.225,5184.775,5158.549,5181.995,1.5446
04.03.2026 10:00:00.000 UTC,5182.035,5202.048,5179.325,5189.635,1.82882
04.03.2026 11:00:00.000 UTC,5189.695,5200.485,5187.485,5191.975,0.9225
04.03.2026 12:00:00.000 UTC,5192.055,5205.995,5156.095,5170.945,1.75393
04.03.2026 13:00:00.000 UTC,5171.195,5196.065,5167.135,5167.605,2.36484
04.03.2026 14:00:00.000 UTC,5167.465,5184.875,5138.475,5145.855,4.21065
04.03.2026 15:00:00.000 UTC,5142.758,5166.709,5130.965,5151.005,5.83311
04.03.2026 16:00:00.000 UTC,5150.995,5162.138,5137.948,5149.485,3.7416
04.03.2026 17:00:00.000 UTC,5149.485,5152.835,5120.235,5140.935,3.28522
