UTC,Open,High,Low,Close,Volume
01.01.2025 23:00:00.000 UTC,2625.098,2626.005,2621.475,2623.555,0.76854
02.01.2025 00:00:00.000 UTC,2623.655,2627.765,2622.448,2625.185,1.25358
02.01.2025 01:00:00.000 UTC,2625.185,2634.148,2623.645,2632.735,3.60279
02.01.2025 02:00:00.000 UTC,2632.735,2636.298,2632.148,2634.498,2.38464
02.01.2025 03:00:00.000 UTC,2634.404,2635.198,2632.065,2633.448,1.5948
02.01.2025 04:00:00.000 UTC,2633.468,2634.048,2630.858,2633.754,1.12056
02.01.2025 05:00:00.000 UTC,2633.754,2636.284,2632.864,2633.874,1.31712
02.01.2025 06:00:00.000 UTC,2633.748,2635.244,2630.998,2633.974,2.70999
02.01.2025 07:00:00.000 UTC,2633.954,2635.898,2632.798,2635.848,1.94614
02.01.2025 08:00:00.000 UTC,2635.704,2637.558,2630.985,2636.348,2.73622
02.01.2025 09:00:00.000 UTC,2636.365,2639.785,2635.858,2635.915,2.78986
02.01.2025 10:00:00.000 UTC,2635.915,2646.098,2632.535,2642.488,4.20798
02.01.2025 11:00:00.000 UTC,2642.518,2644.468,2640.064,2641.665,2.27203
02.01.2025 12:00:00.000 UTC,2641.704,2646.265,2640.148,2643.165,2.538467
02.01.2025 13:00:00.000 UTC,2643.155,2647.135,2635.865,2642.764,6.13897
02.01.2025 14:00:00.000 UTC,2642.754,2650.975,2640.135,2647.485,5.25261
02.01.2025 15:00:00.000 UTC,2647.304,2655.715,2644.985,2653.948,5.4265
02.01.2025 16:00:00.000 UTC,2653.904,2660.348,2649.794,2659.148,4.01956
02.01.2025 17:00:00.000 UTC,2659.144,2660.374,2652.348,2656.394,3.32078
02.01.2025 18:00:00.000 UTC,2656.375,2658.658,2653.725,2655.245,2.64878
02.01.2025 19:00:00.000 UTC,2655.245,2657.048,2653.648,2654.635,4.1816
02.01.2025 20:00:00.000 UTC,2654.564,2660.375,2653.985,2659.598,3.19369
02.01.2025 21:00:00.000 UTC,2659.455,2660.148,2656.415,2657.195,0.3996
02.01.2025 23:00:00.000 UTC,2657.248,2659.398,2656.748,2658.295,0.49617
03.01.2025 00:00:00.000 UTC,2658.275,2660.985,2658.265,2660.655,1.3176
03.01.2025 01:00:00.000 UTC,2660.655,2662.315,2656.598,2659.325,2.68956
03.01.2025 02:00:00.000 UTC,2659.325,2663.875,2656.025,2662.335,3.67153
03.01.2025 03:00:00.000 UTC,2662.335,2665.185,2661.105,2662.155,2.48104
03.01.2025 04:00:00.000 UTC,2662.125,2664.195,2661.585,2662.735,1.33011
03.01.2025 05:00:00.000 UTC,2662.745,2662.775,2655.815,2658.405,1.99174
03.01.2025 06:00:00.000 UTC,2658.398,2660.165,2656.485,2659.415,2.67568
03.01.2025 07:00:00.000 UTC,2659.405,2659.405,2651.708,2654.045,2.81902
03.01.2025 08:00:00.000 UTC,2654.045,2655.568,2649.795,2652.805,4.04174
03.01.2025 09:00:00.000 UTC,2652.805,2655.795,2652.695,2653.525,3.11293
03.01.2025 10:00:00.000 UTC,2653.395,2657.955,2652.928,2657.595,2.94925
03.01.2025 11:00:00.000 UTC,2657.545,2659.155,2656.115,2657.425,2.26427
03.01.2025 12:00:00.000 UTC,2657.415,2658.225,2654.635,2655.085,2.58123
03.01.2025 13:00:00.000 UTC,2655.095,2656.175,2643.355,2649.685,6.14345
03.01.2025 14:00:00.000 UTC,2649.685,2652.505,2644.995,2647.135,7.4994
03.01.2025 15:00:00.000 UTC,2646.184,2648.068,2640.835,2643.755,5.5629
03.01.2025 16:00:00.000 UTC,2643.635,2647.085,2639,2639.805,4.76127
03.01.2025 17:00:00.000 UTC,2639.805,2642.525,2639,2641.648,1.89115
03.01.2025 18:00:00.000 UTC,2641.674,2642.185,2639.598,2641.785,1.38288
03.01.2025 19:00:00.000 UTC,2641.765,2642.844,2639,2639.248,1.54275
03.01.2025 20:00:00.000 UTC,2639.248,2640.004,2636.725,2638.115,1.215049
03.01.2025 21:00:00.000 UTC,2638.115,2640.555,2636.625,2639.898,0.48419
05.01.2025 23:00:00.000 UTC,2639.298,2642.235,2638.815,2640.848,1.07542
06.01.2025 00:00:00.000 UTC,2640.835,2643.165,2638.425,2643.065,1.15836
06.01.2025 01:00:00.000 UTC,2643.035,2647.275,2640.615,2641.185,2.51484
06.01.2025 02:00:00.000 UTC,2641.195,2645.175,2639.585,2644.365,2.56058
06.01.2025 03:00:00.000 UTC,2644.355,2645.185,2639.015,2640.065,1.79384
06.01.2025 04:00:00.000 UTC,2640.055,2640.605,2634.185,2635.295,1.98307
06.01.2025 05:00:00.000 UTC,2635.285,2636.065,2631.51,2633.775,2.26163
06.01.2025 06:00:00.000 UTC,2633.755,2635.148,2630.025,2631.375,2.33263
06.01.2025 07:00:00.000 UTC,2631.335,2633.615,2625.035,2626.705,3.01299
06.01.2025 08:00:00.000 UTC,2626.705,2632.435,2625.575,2631.385,3.0392
06.01.2025 09:00:00.000 UTC,2631.295,2635.525,2631.035,2632.585,2.13766
06.01.2025 10:00:00.000 UTC,2632.585,2634.875,2630.775,2633.595,1.36645
06.01.2025 11:00:00.000 UTC,2633.595,2649.305,2632.335,2645.425,4.96744
