UTC,Open,High,Low,Close,Volume
01.08.2021 22:00:00.000 UTC,1813.321,1815.078,1813.268,1814.018,1.067365
01.08.2021 23:00:00.000 UTC,1813.998,1814.008,1811.978,1813.815,0.49514
02.08.2021 00:00:00.000 UTC,1813.815,1816.448,1812.528,1816.378,1.0784
02.08.2021 01:00:00.000 UTC,1816.418,1816.758,1808.348,1810.908,2.15399
02.08.2021 02:00:00.000 UTC,1810.908,1812.368,1808.578,1812.035,1.52397
02.08.2021 03:00:00.000 UTC,1812.058,1812.198,1810.118,1811.977,0.79733
02.08.2021 04:00:00.000 UTC,1811.976,1812.052,1810.008,1810.538,0.45708
02.08.2021 05:00:00.000 UTC,1810.538,1813.248,1809.218,1811.388,1.27657
02.08.2021 06:00:00.000 UTC,1811.418,1811.418,1806.955,1808.318,2.25311
02.08.2021 07:00:00.000 UTC,1808.298,1809.828,1806.598,1807.958,1.55994
02.08.2021 08:00:00.000 UTC,1807.958,1809.218,1806.258,1807.248,1.42381
02.08.2021 09:00:00.000 UTC,1807.248,1810.295,1806.688,1810.235,0.9243
02.08.2021 10:00:00.000 UTC,1810.205,1810.668,1808.008,1808.628,1.16547
02.08.2021 11:00:00.000 UTC,1808.618,1811.588,1807.548,1811.278,1.19462
02.08.2021 12:00:00.000 UTC,1811.278,1811.488,1805.638,1806.618,2.249165
02.08.2021 13:00:00.000 UTC,1806.598,1812.438,1806.028,1808.668,2.84977
02.08.2021 14:00:00.000 UTC,1808.698,1816.318,1807.948,1814.618,3.40023
02.08.2021 15:00:00.000 UTC,1814.638,1815.818,1812.958,1814.458,1.99703
02.08.2021 16:00:00.000 UTC,1814.478,1818.408,1814.438,1817.748,1.93984
02.08.2021 17:00:00.000 UTC,1817.748,1819.418,1815.328,1815.808,2.21262
02.08.2021 18:00:00.000 UTC,1815.828,1816.305,1813.948,1816.268,1.89215
02.08.2021 19:00:00.000 UTC,1816.268,1816.318,1812.565,1813.068,1.24022
02.08.2021 20:00:00.000 UTC,1813.008,1814.148,1812.575,1813.188,0.46899
02.08.2021 22:00:00.000 UTC,1812.938,1813.668,1812.608,1812.788,0.29174
02.08.2021 23:00:00.000 UTC,1812.788,1813.028,1812.198,1812.395,0.28693
03.08.2021 00:00:00.000 UTC,1812.525,1813.855,1810.858,1811.228,0.65306
03.08.2021 01:00:00.000 UTC,1811.298,1812.658,1809.308,1812.218,1.34626
03.08.2021 02:00:00.000 UTC,1812.218,1813.428,1810.428,1811.108,0.93953
03.08.2021 03:00:00.000 UTC,1811.078,1811.545,1809.508,1810.725,0.77374
03.08.2021 04:00:00.000 UTC,1810.705,1812.398,1810.588,1811.698,0.65802
03.08.2021 05:00:00.000 UTC,1811.668,1811.918,1809.838,1811.098,0.74618
03.08.2021 06:00:00.000 UTC,1811.138,1811.308,1808.158,1809.048,1.24273
03.08.2021 07:00:00.000 UTC,1808.998,1811.698,1808.938,1809.615,1.61818
03.08.2021 08:00:00.000 UTC,1809.595,1812.018,1808.808,1810.628,1.06897
03.08.2021 09:00:00.000 UTC,1810.618,1810.738,1808.348,1810.228,0.91574
03.08.2021 10:00:00.000 UTC,1810.238,1811.448,1809.418,1810.785,0.7878
03.08.2021 11:00:00.000 UTC,1810.788,1810.908,1808.918,1810.018,0.75193
03.08.2021 12:00:00.000 UTC,1809.998,1813.408,1807.018,1812.521,2.10863
03.08.2021 13:00:00.000 UTC,1812.551,1814.908,1809.478,1813.558,2.547585
03.08.2021 14:00:00.000 UTC,1813.578,1814.218,1809.128,1811.318,2.32848
03.08.2021 15:00:00.000 UTC,1811.328,1811.798,1808.578,1809.178,1.81211
03.08.2021 16:00:00.000 UTC,1809.208,1810.908,1808.638,1810.648,0.9288
03.08.2021 17:00:00.000 UTC,1810.628,1811.528,1809.938,1809.998,0.80032
03.08.2021 18:00:00.000 UTC,1809.998,1810.798,1809.738,1809.898,0.74736
03.08.2021 19:00:00.000 UTC,1809.898,1811.348,1809.698,1811.248,0.55815
03.08.2021 20:00:00.000 UTC,1811.098,1811.148,1809.998,1810.308,0.237265
03.08.2021 22:00:00.000 UTC,1809.846,1810.608,1809.846,1810.598,0.11878
03.08.2021 23:00:00.000 UTC,1810.598,1811.158,1810.468,1811.058,0.13836
04.08.2021 00:00:00.000 UTC,1811.028,1811.118,1809.655,1810.345,1.02674
04.08.2021 01:00:00.000 UTC,1810.345,1813.198,1808.845,1812.798,1.17579
04.08.2021 02:00:00.000 UTC,1812.818,1813.678,1812.235,1813.585,0.94346
04.08.2021 03:00:00.000 UTC,1813.565,1814.698,1812.99,1813.017,0.77751
04.08.2021 04:00:00.000 UTC,1813.008,1813.198,1812.138,1812.278,0.59311
04.08.2021 05:00:00.000 UTC,1812.288,1814.218,1811.858,1813.568,0.54945
04.08.2021 06:00:00.000 UTC,1813.545,1814.498,1812.046,1814.065,1.16958
04.08.2021 07:00:00.000 UTC,1814.065,1815.021,1812.855,1814.408,1.51641
04.08.2021 08:00:00.000 UTC,1814.408,1815.015,1810.925,1811.298,1.15125
04.08.2021 09:00:00.000 UTC,1811.308,1814.888,1810.678,1814.808,1.0081
04.08.2021 10:00:00.000 UTC,1814.818,1814.848,1813.008,1813.578,0.63302
04.08.2021 11:00:00.000 UTC,1813.518,1819.128,1813.051,1817.688,1.75584
04.08.2021 12:00:00.000 UTC,1817.698,1828.011,1817.698,1827.038,3.43985
04.08.2021 13:00:00.000 UTC,1827.058,1831.605,1826.408,1828.808,3.87994
04.08.2021 14:00:00.000 UTC,1828.098,1829.378,1808.975,1811.548,5.40718
04.08.2021 15:00:00.000 UTC,1811.568,1812.268,1806.325,1811.068,2.56382
04.08.2021 16:00:00.000 UTC,1811.088,1812.008,1810.018,1811.768,1.13749
04.08.2021 17:00:00.000 UTC,1811.818,1812.966,1810.478,1812.208,0.84095
04.08.2021 18:00:00.000 UTC,1812.218,1812.336,1810.398,1811.078,0.67858
04.08.2021 19:00:00.000 UTC,1811.108,1812.406,1810.708,1811.718,0.56155
04.08.2021 20:00:00.000 UTC,1811.798,1812.268,1810.838,1811.478,0.29415
04.08.2021 22:00:00.000 UTC,1810.996,1812.118,1810.996,1811.838,0.29125
04.08.2021 23:00:00.000 UTC,1811.858,1812.378,1811.308,1811.518,0.31503
05.08.2021 00:00:00.000 UTC,1811.518,1811.598,1809.448,1809.685,0.8343
05.08.2021 01:00:00.000 UTC,1809.665,1811.838,1808.978,1810.438,1.60181
