UTC,Open,High,Low,Close,Volume
25.01.2026 23:00:00.000 UTC,5003.285,5026.648,5001.098,5012.948,0.32706
25.01.2026 23:05:00.000 UTC,5012.748,5024.905,5002.298,5022.248,0.6024
25.01.2026 23:10:00.000 UTC,5021.988,5025.755,5013.248,5021.305,0.17830000000000001
25.01.2026 23:15:00.000 UTC,5020.565,5029.275,5019.385,5028.125,0.15008999999999997
25.01.2026 23:20:00.000 UTC,5028.165,5030.745,5023.475,5024.615,0.12757
25.01.2026 23:25:00.000 UTC,5024.625,5025.365,5011.895,5018.335,0.17554
25.01.2026 23:30:00.000 UTC,5018.555,5026.805,5016.155,5022.035,0.16465000000000002
25.01.2026 23:35:00.000 UTC,5022.055,5031.585,5017.675,5029.555,0.13577
25.01.2026 23:40:00.000 UTC,5029.555,5030.015,5024.645,5024.955,0.12753
25.01.2026 23:45:00.000 UTC,5024.855,5036.145,5024.755,5033.315,0.15333
25.01.2026 23:50:00.000 UTC,5033.325,5039.695,5031.585,5039.425,0.10439
25.01.2026 23:55:00.000 UTC,5039.435,5039.445,5035.615,5039.395,0.08853
